"size","sim","serie","p1"
100,25,"x10",16
100,25,"x11",1
100,25,"x12",2
100,25,"x13",5
100,25,"x14",3
100,26,"x1",1
100,26,"x2",3
100,26,"x3",3
100,26,"x4",1
100,26,"x5",1
100,26,"x6",5
100,26,"x7",2
100,26,"x8",2
100,26,"x9",4
100,26,"x10",19
100,26,"x11",1
100,26,"x12",4
100,26,"x13",4
100,26,"x14",3
100,27,"x1",5
100,27,"x2",3
100,27,"x3",6
100,27,"x4",1
100,27,"x5",1
100,27,"x6",2
100,27,"x7",2
100,27,"x8",4
100,27,"x9",1
100,27,"x10",19
100,27,"x11",2
100,27,"x12",2
100,27,"x13",4
100,27,"x14",3
100,28,"x1",4
100,28,"x2",1
100,28,"x3",11
100,28,"x4",2
100,28,"x5",4
100,28,"x6",3
100,28,"x7",2
100,28,"x8",3
100,28,"x9",2
100,28,"x10",21
100,28,"x11",1
100,28,"x12",3
100,28,"x13",8
100,28,"x14",7
100,29,"x1",4
100,29,"x2",3
100,29,"x3",9
100,29,"x4",3
100,29,"x5",4
100,29,"x6",1
100,29,"x7",1
100,29,"x8",4
100,29,"x9",1
100,29,"x10",4
100,29,"x11",1
100,29,"x12",6
100,29,"x13",5
100,29,"x14",4
100,30,"x1",4
100,30,"x2",4
100,30,"x3",6
100,30,"x4",1
100,30,"x5",1
100,30,"x6",2
100,30,"x7",2
100,30,"x8",4
100,30,"x9",1
100,30,"x10",17
100,30,"x11",1
100,30,"x12",3
100,30,"x13",4
100,30,"x14",3
100,31,"x1",4
100,31,"x2",3
100,31,"x3",24
100,31,"x4",1
100,31,"x5",7
100,31,"x6",7
100,31,"x7",3
100,31,"x8",3
100,31,"x9",2
100,31,"x10",13
100,31,"x11",1
100,31,"x12",3
100,31,"x13",8
100,31,"x14",5
100,32,"x1",5
100,32,"x2",4
100,32,"x3",4
100,32,"x4",1
100,32,"x5",6
100,32,"x6",2
100,32,"x7",2
100,32,"x8",4
100,32,"x9",2
100,32,"x10",5
100,32,"x11",1
100,32,"x12",4
100,32,"x13",4
100,32,"x14",5
100,33,"x1",3
100,33,"x2",11
100,33,"x3",4
100,33,"x4",7
100,33,"x5",4
100,33,"x6",7
100,33,"x7",2
100,33,"x8",2
100,33,"x9",3
100,33,"x10",18
100,33,"x11",1
100,33,"x12",4
100,33,"x13",4
100,33,"x14",3
100,34,"x1",1
100,34,"x2",6
100,34,"x3",14
100,34,"x4",1
100,34,"x5",4
100,34,"x6",5
100,34,"x7",4
100,34,"x8",7
100,34,"x9",12
100,34,"x10",16
100,34,"x11",1
100,34,"x12",2
100,34,"x13",4
100,34,"x14",2
100,35,"x1",4
100,35,"x2",6
100,35,"x3",8
100,35,"x4",1
100,35,"x5",1
100,35,"x6",5
100,35,"x7",2
100,35,"x8",5
100,35,"x9",12
100,35,"x10",14
100,35,"x11",2
100,35,"x12",7
100,35,"x13",4
100,35,"x14",3
100,36,"x1",7
100,36,"x2",6
100,36,"x3",4
100,36,"x4",1
100,36,"x5",5
100,36,"x6",3
100,36,"x7",1
100,36,"x8",15
100,36,"x9",5
100,36,"x10",10
100,36,"x11",2
100,36,"x12",4
100,36,"x13",4
100,36,"x14",4
100,37,"x1",6
100,37,"x2",3
100,37,"x3",5
100,37,"x4",3
100,37,"x5",5
100,37,"x6",1
100,37,"x7",5
100,37,"x8",13
100,37,"x9",8
100,37,"x10",10
100,37,"x11",4
100,37,"x12",3
100,37,"x13",4
100,37,"x14",3
100,38,"x1",4
100,38,"x2",1
100,38,"x3",4
100,38,"x4",2
100,38,"x5",1
100,38,"x6",2
100,38,"x7",2
100,38,"x8",4
100,38,"x9",13
100,38,"x10",8
100,38,"x11",2
100,38,"x12",5
100,38,"x13",2
100,38,"x14",1
100,39,"x1",4
100,39,"x2",6
100,39,"x3",4
100,39,"x4",1
100,39,"x5",1
100,39,"x6",4
100,39,"x7",3
100,39,"x8",3
100,39,"x9",12
100,39,"x10",30
100,39,"x11",3
100,39,"x12",2
100,39,"x13",4
100,39,"x14",3
100,40,"x1",8
100,40,"x2",9
100,40,"x3",6
100,40,"x4",2
100,40,"x5",1
100,40,"x6",4
100,40,"x7",2
100,40,"x8",4
100,40,"x9",2
100,40,"x10",9
100,40,"x11",1
100,40,"x12",4
100,40,"x13",5
100,40,"x14",7
100,41,"x1",6
100,41,"x2",7
100,41,"x3",7
100,41,"x4",3
100,41,"x5",4
100,41,"x6",2
100,41,"x7",2
100,41,"x8",3
100,41,"x9",2
100,41,"x10",10
100,41,"x11",1
100,41,"x12",4
100,41,"x13",11
100,41,"x14",10
100,42,"x1",4
100,42,"x2",7
100,42,"x3",7
100,42,"x4",1
100,42,"x5",4
100,42,"x6",3
100,42,"x7",1
100,42,"x8",3
100,42,"x9",4
100,42,"x10",28
100,42,"x11",14
100,42,"x12",3
100,42,"x13",4
100,42,"x14",5
100,43,"x1",5
100,43,"x2",3
100,43,"x3",16
100,43,"x4",3
100,43,"x5",2
100,43,"x6",4
100,43,"x7",2
100,43,"x8",4
100,43,"x9",15
100,43,"x10",11
100,43,"x11",2
100,43,"x12",3
100,43,"x13",4
100,43,"x14",3
100,44,"x1",6
100,44,"x2",10
100,44,"x3",4
100,44,"x4",3
100,44,"x5",4
100,44,"x6",3
100,44,"x7",3
100,44,"x8",3
100,44,"x9",2
100,44,"x10",5
100,44,"x11",1
100,44,"x12",3
100,44,"x13",5
100,44,"x14",5
100,45,"x1",5
100,45,"x2",3
100,45,"x3",4
100,45,"x4",2
100,45,"x5",2
100,45,"x6",3
100,45,"x7",2
100,45,"x8",5
100,45,"x9",3
100,45,"x10",16
100,45,"x11",7
100,45,"x12",5
100,45,"x13",5
100,45,"x14",3
100,46,"x1",1
100,46,"x2",25
100,46,"x3",6
100,46,"x4",3
100,46,"x5",5
100,46,"x6",5
100,46,"x7",2
100,46,"x8",3
100,46,"x9",2
100,46,"x10",18
100,46,"x11",1
100,46,"x12",3
100,46,"x13",4
100,46,"x14",1
100,47,"x1",4
100,47,"x2",16
100,47,"x3",4
100,47,"x4",2
100,47,"x5",7
100,47,"x6",3
100,47,"x7",2
100,47,"x8",3
100,47,"x9",2
100,47,"x10",21
100,47,"x11",1
100,47,"x12",3
100,47,"x13",4
100,47,"x14",3
100,48,"x1",2
100,48,"x2",4
100,48,"x3",5
100,48,"x4",3
100,48,"x5",5
100,48,"x6",2
100,48,"x7",2
100,48,"x8",2
100,48,"x9",13
100,48,"x10",30
100,48,"x11",1
100,48,"x12",2
100,48,"x13",4
100,48,"x14",3
100,49,"x1",2
100,49,"x2",1
100,49,"x3",6
100,49,"x4",3
100,49,"x5",1
100,49,"x6",3
100,49,"x7",2
100,49,"x8",4
100,49,"x9",5
100,49,"x10",10
100,49,"x11",1
100,49,"x12",3
100,49,"x13",2
100,49,"x14",2
100,50,"x1",4
100,50,"x2",4
100,50,"x3",6
100,50,"x4",1
100,50,"x5",1
100,50,"x6",4
100,50,"x7",1
100,50,"x8",4
100,50,"x9",13
100,50,"x10",16
100,50,"x11",12
100,50,"x12",6
100,50,"x13",5
100,50,"x14",4
100,51,"x1",4
100,51,"x2",10
100,51,"x3",4
100,51,"x4",1
100,51,"x5",1
100,51,"x6",6
100,51,"x7",2
100,51,"x8",5
100,51,"x9",1
100,51,"x10",10
100,51,"x11",1
100,51,"x12",2
100,51,"x13",4
100,51,"x14",3
100,52,"x1",1
100,52,"x2",3
100,52,"x3",10
100,52,"x4",4
100,52,"x5",4
100,52,"x6",3
100,52,"x7",1
100,52,"x8",2
100,52,"x9",13
100,52,"x10",10
100,52,"x11",1
100,52,"x12",3
100,52,"x13",4
100,52,"x14",3
100,53,"x1",5
100,53,"x2",3
100,53,"x3",5
100,53,"x4",3
100,53,"x5",4
100,53,"x6",1
100,53,"x7",1
100,53,"x8",5
100,53,"x9",2
100,53,"x10",13
100,53,"x11",1
100,53,"x12",4
100,53,"x13",4
100,53,"x14",3
100,54,"x1",4
100,54,"x2",4
100,54,"x3",4
100,54,"x4",3
100,54,"x5",7
100,54,"x6",3
100,54,"x7",3
100,54,"x8",4
100,54,"x9",2
100,54,"x10",13
100,54,"x11",24
100,54,"x12",3
100,54,"x13",4
100,54,"x14",3
100,55,"x1",2
100,55,"x2",3
100,55,"x3",4
100,55,"x4",2
100,55,"x5",4
100,55,"x6",3
100,55,"x7",2
100,55,"x8",3
100,55,"x9",4
100,55,"x10",25
100,55,"x11",1
100,55,"x12",4
100,55,"x13",4
100,55,"x14",3
100,56,"x1",6
100,56,"x2",3
100,56,"x3",4
100,56,"x4",2
100,56,"x5",1
100,56,"x6",8
100,56,"x7",1
100,56,"x8",3
100,56,"x9",8
100,56,"x10",26
100,56,"x11",1
100,56,"x12",9
100,56,"x13",9
100,56,"x14",3
100,57,"x1",4
100,57,"x2",6
100,57,"x3",4
100,57,"x4",3
100,57,"x5",1
100,57,"x6",2
100,57,"x7",2
100,57,"x8",3
100,57,"x9",6
100,57,"x10",18
100,57,"x11",1
100,57,"x12",12
100,57,"x13",4
100,57,"x14",1
100,58,"x1",4
100,58,"x2",4
100,58,"x3",5
100,58,"x4",2
100,58,"x5",2
100,58,"x6",2
100,58,"x7",2
100,58,"x8",4
100,58,"x9",8
100,58,"x10",9
100,58,"x11",1
100,58,"x12",2
100,58,"x13",5
100,58,"x14",4
100,59,"x1",1
100,59,"x2",4
100,59,"x3",3
100,59,"x4",2
100,59,"x5",1
100,59,"x6",2
100,59,"x7",2
100,59,"x8",3
100,59,"x9",5
100,59,"x10",14
100,59,"x11",24
100,59,"x12",5
100,59,"x13",4
100,59,"x14",3
100,60,"x1",3
100,60,"x2",2
100,60,"x3",11
100,60,"x4",2
100,60,"x5",7
100,60,"x6",3
100,60,"x7",2
100,60,"x8",7
100,60,"x9",23
100,60,"x10",17
100,60,"x11",1
100,60,"x12",4
100,60,"x13",7
100,60,"x14",3
100,61,"x1",4
100,61,"x2",7
100,61,"x3",5
100,61,"x4",2
100,61,"x5",8
100,61,"x6",4
100,61,"x7",1
100,61,"x8",2
100,61,"x9",22
100,61,"x10",20
100,61,"x11",1
100,61,"x12",4
100,61,"x13",4
100,61,"x14",3
100,62,"x1",4
100,62,"x2",3
100,62,"x3",4
100,62,"x4",1
100,62,"x5",2
100,62,"x6",4
100,62,"x7",2
100,62,"x8",3
100,62,"x9",13
100,62,"x10",17
100,62,"x11",2
100,62,"x12",3
100,62,"x13",5
100,62,"x14",3
100,63,"x1",4
100,63,"x2",14
100,63,"x3",6
100,63,"x4",3
100,63,"x5",7
100,63,"x6",3
100,63,"x7",1
100,63,"x8",4
100,63,"x9",11
100,63,"x10",10
100,63,"x11",5
100,63,"x12",3
100,63,"x13",4
100,63,"x14",3
100,64,"x1",3
100,64,"x2",4
100,64,"x3",4
100,64,"x4",4
100,64,"x5",1
100,64,"x6",11
100,64,"x7",2
100,64,"x8",6
100,64,"x9",2
100,64,"x10",24
100,64,"x11",5
100,64,"x12",5
100,64,"x13",6
100,64,"x14",6
100,65,"x1",1
100,65,"x2",7
100,65,"x3",4
100,65,"x4",2
100,65,"x5",5
100,65,"x6",3
100,65,"x7",4
100,65,"x8",4
100,65,"x9",2
100,65,"x10",12
100,65,"x11",1
100,65,"x12",2
100,65,"x13",3
100,65,"x14",1
100,66,"x1",1
100,66,"x2",8
100,66,"x3",4
100,66,"x4",1
100,66,"x5",2
100,66,"x6",2
100,66,"x7",3
100,66,"x8",3
100,66,"x9",12
100,66,"x10",11
100,66,"x11",1
100,66,"x12",3
100,66,"x13",4
100,66,"x14",3
100,67,"x1",5
100,67,"x2",5
100,67,"x3",4
100,67,"x4",1
100,67,"x5",4
100,67,"x6",1
100,67,"x7",5
100,67,"x8",11
100,67,"x9",10
100,67,"x10",10
100,67,"x11",1
100,67,"x12",3
100,67,"x13",5
100,67,"x14",6
100,68,"x1",3
100,68,"x2",6
100,68,"x3",3
100,68,"x4",2
100,68,"x5",5
100,68,"x6",3
100,68,"x7",2
100,68,"x8",3
100,68,"x9",13
100,68,"x10",9
100,68,"x11",5
100,68,"x12",6
100,68,"x13",4
100,68,"x14",3
100,69,"x1",2
100,69,"x2",1
100,69,"x3",4
100,69,"x4",4
100,69,"x5",4
100,69,"x6",4
100,69,"x7",1
100,69,"x8",3
100,69,"x9",2
100,69,"x10",16
100,69,"x11",1
100,69,"x12",2
100,69,"x13",4
100,69,"x14",3
100,70,"x1",4
100,70,"x2",7
100,70,"x3",5
100,70,"x4",1
100,70,"x5",1
100,70,"x6",3
100,70,"x7",2
100,70,"x8",2
100,70,"x9",13
100,70,"x10",4
100,70,"x11",1
100,70,"x12",2
100,70,"x13",4
100,70,"x14",3
100,71,"x1",5
100,71,"x2",3
100,71,"x3",4
100,71,"x4",1
100,71,"x5",5
100,71,"x6",6
100,71,"x7",2
100,71,"x8",2
100,71,"x9",13
100,71,"x10",16
100,71,"x11",24
100,71,"x12",3
100,71,"x13",4
100,71,"x14",3
100,72,"x1",3
100,72,"x2",3
100,72,"x3",4
100,72,"x4",2
100,72,"x5",4
100,72,"x6",4
100,72,"x7",2
100,72,"x8",4
100,72,"x9",5
100,72,"x10",8
100,72,"x11",1
100,72,"x12",3
100,72,"x13",6
100,72,"x14",5
100,73,"x1",5
100,73,"x2",8
100,73,"x3",4
100,73,"x4",2
100,73,"x5",4
100,73,"x6",10
100,73,"x7",11
100,73,"x8",4
100,73,"x9",14
100,73,"x10",17
100,73,"x11",1
100,73,"x12",4
100,73,"x13",2
100,73,"x14",1
100,74,"x1",3
100,74,"x2",4
100,74,"x3",10
100,74,"x4",1
100,74,"x5",1
100,74,"x6",2
100,74,"x7",1
100,74,"x8",8
100,74,"x9",3
100,74,"x10",10
100,74,"x11",1
100,74,"x12",2
100,74,"x13",6
100,74,"x14",5
100,75,"x1",7
100,75,"x2",6
100,75,"x3",10
100,75,"x4",4
100,75,"x5",4
100,75,"x6",4
100,75,"x7",1
100,75,"x8",5
100,75,"x9",2
100,75,"x10",24
100,75,"x11",4
100,75,"x12",4
100,75,"x13",5
100,75,"x14",4
100,76,"x1",5
100,76,"x2",3
100,76,"x3",4
100,76,"x4",2
100,76,"x5",4
100,76,"x6",6
100,76,"x7",4
100,76,"x8",3
100,76,"x9",4
100,76,"x10",13
100,76,"x11",1
100,76,"x12",2
100,76,"x13",4
100,76,"x14",4
100,77,"x1",5
100,77,"x2",3
100,77,"x3",5
100,77,"x4",3
100,77,"x5",2
100,77,"x6",4
100,77,"x7",17
100,77,"x8",3
100,77,"x9",6
100,77,"x10",19
100,77,"x11",1
100,77,"x12",2
100,77,"x13",6
100,77,"x14",5
100,78,"x1",5
100,78,"x2",4
100,78,"x3",4
100,78,"x4",3
100,78,"x5",1
100,78,"x6",1
100,78,"x7",2
100,78,"x8",2
100,78,"x9",13
100,78,"x10",20
100,78,"x11",1
100,78,"x12",3
100,78,"x13",4
100,78,"x14",3
100,79,"x1",4
100,79,"x2",5
100,79,"x3",4
100,79,"x4",2
100,79,"x5",1
100,79,"x6",2
100,79,"x7",2
100,79,"x8",5
100,79,"x9",3
100,79,"x10",14
100,79,"x11",1
100,79,"x12",4
100,79,"x13",8
100,79,"x14",3
100,80,"x1",17
100,80,"x2",3
100,80,"x3",5
100,80,"x4",1
100,80,"x5",4
100,80,"x6",1
100,80,"x7",1
100,80,"x8",8
100,80,"x9",12
100,80,"x10",17
100,80,"x11",1
100,80,"x12",2
100,80,"x13",4
100,80,"x14",3
100,81,"x1",5
100,81,"x2",5
100,81,"x3",4
100,81,"x4",1
100,81,"x5",4
100,81,"x6",2
100,81,"x7",17
100,81,"x8",3
100,81,"x9",3
100,81,"x10",13
100,81,"x11",1
100,81,"x12",2
100,81,"x13",9
100,81,"x14",4
100,82,"x1",2
100,82,"x2",3
100,82,"x3",5
100,82,"x4",2
100,82,"x5",1
100,82,"x6",1
100,82,"x7",1
100,82,"x8",3
100,82,"x9",13
100,82,"x10",21
100,82,"x11",6
100,82,"x12",10
100,82,"x13",4
100,82,"x14",3
100,83,"x1",4
100,83,"x2",9
100,83,"x3",4
100,83,"x4",4
100,83,"x5",4
100,83,"x6",4
100,83,"x7",2
100,83,"x8",3
100,83,"x9",2
100,83,"x10",9
100,83,"x11",1
100,83,"x12",4
100,83,"x13",4
100,83,"x14",4
100,84,"x1",9
100,84,"x2",14
100,84,"x3",3
100,84,"x4",2
100,84,"x5",4
100,84,"x6",3
100,84,"x7",2
100,84,"x8",13
100,84,"x9",14
100,84,"x10",30
100,84,"x11",1
100,84,"x12",6
100,84,"x13",4
100,84,"x14",3
100,85,"x1",4
100,85,"x2",1
100,85,"x3",4
100,85,"x4",1
100,85,"x5",1
100,85,"x6",3
100,85,"x7",4
100,85,"x8",3
100,85,"x9",1
100,85,"x10",6
100,85,"x11",10
100,85,"x12",7
100,85,"x13",8
100,85,"x14",4
100,86,"x1",5
100,86,"x2",6
100,86,"x3",4
100,86,"x4",2
100,86,"x5",1
100,86,"x6",3
100,86,"x7",1
100,86,"x8",2
100,86,"x9",13
100,86,"x10",19
100,86,"x11",5
100,86,"x12",9
100,86,"x13",4
100,86,"x14",1
100,87,"x1",3
100,87,"x2",10
100,87,"x3",4
100,87,"x4",2
100,87,"x5",1
100,87,"x6",1
100,87,"x7",1
100,87,"x8",5
100,87,"x9",12
100,87,"x10",18
100,87,"x11",1
100,87,"x12",3
100,87,"x13",4
100,87,"x14",3
100,88,"x1",4
100,88,"x2",4
100,88,"x3",7
100,88,"x4",3
100,88,"x5",4
100,88,"x6",4
100,88,"x7",1
100,88,"x8",6
100,88,"x9",1
100,88,"x10",30
100,88,"x11",1
100,88,"x12",2
100,88,"x13",4
100,88,"x14",3
100,89,"x1",3
100,89,"x2",3
100,89,"x3",4
100,89,"x4",3
100,89,"x5",1
100,89,"x6",4
100,89,"x7",1
100,89,"x8",3
100,89,"x9",5
100,89,"x10",8
100,89,"x11",1
100,89,"x12",2
100,89,"x13",5
100,89,"x14",4
100,90,"x1",1
100,90,"x2",4
100,90,"x3",4
100,90,"x4",1
100,90,"x5",1
100,90,"x6",4
100,90,"x7",1
100,90,"x8",3
100,90,"x9",2
100,90,"x10",18
100,90,"x11",1
100,90,"x12",5
100,90,"x13",5
100,90,"x14",12
100,91,"x1",5
100,91,"x2",3
100,91,"x3",4
100,91,"x4",1
100,91,"x5",6
100,91,"x6",2
100,91,"x7",2
100,91,"x8",3
100,91,"x9",12
100,91,"x10",26
100,91,"x11",1
100,91,"x12",7
100,91,"x13",10
100,91,"x14",9
100,92,"x1",5
100,92,"x2",4
100,92,"x3",3
100,92,"x4",1
100,92,"x5",2
100,92,"x6",4
100,92,"x7",2
100,92,"x8",3
100,92,"x9",14
100,92,"x10",16
100,92,"x11",1
100,92,"x12",2
100,92,"x13",4
100,92,"x14",3
100,93,"x1",1
100,93,"x2",8
100,93,"x3",3
100,93,"x4",2
100,93,"x5",1
100,93,"x6",5
100,93,"x7",6
100,93,"x8",4
100,93,"x9",16
100,93,"x10",17
100,93,"x11",3
100,93,"x12",2
100,93,"x13",2
100,93,"x14",1
100,94,"x1",4
100,94,"x2",1
100,94,"x3",8
100,94,"x4",1
100,94,"x5",1
100,94,"x6",3
100,94,"x7",2
100,94,"x8",4
100,94,"x9",2
100,94,"x10",13
100,94,"x11",1
100,94,"x12",3
100,94,"x13",6
100,94,"x14",6
100,95,"x1",1
100,95,"x2",12
100,95,"x3",5
100,95,"x4",1
100,95,"x5",15
100,95,"x6",1
100,95,"x7",1
100,95,"x8",3
100,95,"x9",24
100,95,"x10",24
100,95,"x11",5
100,95,"x12",6
100,95,"x13",4
100,95,"x14",3
100,96,"x1",4
100,96,"x2",2
100,96,"x3",4
100,96,"x4",3
100,96,"x5",4
100,96,"x6",2
100,96,"x7",2
100,96,"x8",3
100,96,"x9",15
100,96,"x10",14
100,96,"x11",12
100,96,"x12",2
100,96,"x13",4
100,96,"x14",3
100,97,"x1",7
100,97,"x2",3
100,97,"x3",4
100,97,"x4",2
100,97,"x5",4
100,97,"x6",15
100,97,"x7",2
100,97,"x8",2
100,97,"x9",3
100,97,"x10",6
100,97,"x11",1
100,97,"x12",3
100,97,"x13",4
100,97,"x14",1
100,98,"x1",1
100,98,"x2",5
100,98,"x3",3
100,98,"x4",2
100,98,"x5",1
100,98,"x6",4
100,98,"x7",4
100,98,"x8",2
100,98,"x9",1
100,98,"x10",9
100,98,"x11",2
100,98,"x12",3
100,98,"x13",4
100,98,"x14",3
100,99,"x1",4
100,99,"x2",4
100,99,"x3",4
100,99,"x4",3
100,99,"x5",5
100,99,"x6",5
100,99,"x7",1
100,99,"x8",9
100,99,"x9",2
100,99,"x10",14
100,99,"x11",1
100,99,"x12",4
100,99,"x13",4
100,99,"x14",3
100,100,"x1",4
100,100,"x2",3
100,100,"x3",3
100,100,"x4",2
100,100,"x5",5
100,100,"x6",3
100,100,"x7",1
100,100,"x8",3
100,100,"x9",4
100,100,"x10",18
100,100,"x11",24
